,Dizi Linki,Dizi Adı,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Youtube,Facebook,Twitter,Instagram,Durumu
28,https://tr.wikipedia.org//w/index.php?title=%C4%B0nci_Taneleri&action=edit&redlink=1,İnci Taneleri,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
29,https://tr.wikipedia.org//w/index.php?title=%C4%B0stanbul_Ansiklopedisi_(dizi)&action=edit&redlink=1,İstanbul Ansiklopedisi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
30,https://tr.wikipedia.org//w/index.php?title=Kara_A%C4%9Fa%C3%A7&action=edit&redlink=1,Kara Ağaç,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
31,"https://tr.wikipedia.org//w/index.php?title=Kasaba_(dizi,_2024)&action=edit&redlink=1",Kasaba,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
32,https://tr.wikipedia.org//w/index.php?title=K%C4%B1rm%C4%B1z%C4%B1_Pelerin&action=edit&redlink=1,Kırmızı Pelerin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
33,"https://tr.wikipedia.org//w/index.php?title=Kimler_Geldi,_Kimler_Ge%C3%A7ti&action=edit&redlink=1","Kimler Geldi, Kimler Geçti",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
34,https://tr.wikipedia.org//w/index.php?title=Kopuk_(dizi)&action=edit&redlink=1,Kopuk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
35,https://tr.wikipedia.org//w/index.php?title=Korkma_Ben_Yan%C4%B1nday%C4%B1m&action=edit&redlink=1,Korkma Ben Yanındayım,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
36,https://tr.wikipedia.org//w/index.php?title=K%C3%B6t%C3%BC_Kan&action=edit&redlink=1,Kötü Kan,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
37,https://tr.wikipedia.org//w/index.php?title=Kurtulu%C5%9F_Lisesi&action=edit&redlink=1,Kurtuluş Lisesi,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,?
