,Dizi Linki,Dizi Adı,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Tarih,Youtube,Facebook,Twitter,Instagram,Durumu
24,https://tr.wikipedia.org//wiki/S%C3%BCper_Baba_(dizi),Süper Baba,Dram,Uyarlama Değil,"Yavuz Turgul,Sulhi Dölek,Nilgün Önes,Muharrem Buhara,Güliz Kucur,Ayhan Sonyürek","Osman Sınav,Tunca Yönder,Orhan Oğuz,Kartal Tibet,Feyzi Tuna","Şevket Altuğ,Jülide Kural,Seray Gözler,Sümer Tilmaç,İsmet Ay,Şevval Sam,Bennu Yıldırımlar",?,4.0,137,"Şevket Altuğ,Jale Altuğ","Çengelköy,,,İstanbul",?,45.0,Kare Ajans,atv,?,"Stereo,Mono",25 Eylül 1993 - 6 Haziran 1997,1993.0,0,0,0,0,Sona erdi
25,https://tr.wikipedia.org//wiki/Yazl%C4%B1k%C3%A7%C4%B1lar,Yazlıkçılar,"Aile,Komedi,Dram,Aksiyon",Uyarlama Değil,"Yalçın Yelence,Umur Bugay,Hakan Haksun,Elvan Pektaş Deniz,Asaf Köksal",Yalçın Yelence,"Engin Şenkan,Ayşe Kökçü,Ercan Yazgan,Sıdıka Şenkan,Güzin Özipek",?,6.0,39,?,İstanbul,?,45.0,Bugay Yapım,"TRT 1,Star TV",?,?,1 Ağustos 1993 - 4 Ekim 1998,1993.0,0,0,0,0,Sona erdi
26,https://tr.wikipedia.org//wiki/Ferhunde_Han%C4%B1mlar,Ferhunde Hanımlar,Dram,Uyarlama Değil,"Yeşim Olcay,Hazel Sevim Ünsal,Gülsüm Kaplan","Tülay Eratalay,Murat Karahüseyinoğlu,Gülsen U. Erişdi,Altan Yücel,","Beyhan Saran,Baykal Saran,Güven Hokna,Melek Baykal,Hatice Aslan,Şahap Sayılgan,İpek Çeken,Tamer Karadağlı",Metin Yücel,7.0,1069,?,Ankara,?,45.0,"TRT,İç Yapımlar ,Ankara ODA Yapım","TRT 1,Star TV",?,Stereo,"12 Nisan 1993,(,1993-04-12,),[1],- 13 Ocak 1999",1993.0,0,0,0,0,Sona erdi
27,https://tr.wikipedia.org//wiki/Yaz_Evi,Yaz Evi,Dram,Uyarlama Değil,Nezihe Araz,"Aram Gülyüz,Naci Çelik Berksoy","Yıldız Kenter,Müşfik Kenter,Şükran Güngör,Bekir Aksoy,Hande Ataizi,Mehmet Birkiye,Güneş Berberoğlu",?,3.0,100,?,İstanbul,?,30.0,TRT,TRT 1,?,?,1993 - 1996,1993.0,0,0,0,0,Sona erdi
28,https://tr.wikipedia.org//wiki/G%C3%BCl%C5%9Fen_Abi,Gülşen Abi,Komedi,Uyarlama Değil,Can Barslan,"Uğur Erkır,Samim Değer","Haluk Bilginer,Nilüfer Açıkalın,Selim Naşit,Leman Çıdamlı,Necdet Yakın,Olgun Şimşek,Yıldıray Şahinler",?,3.0,115,STR,Türkiye,Uğur Erkır,30.0,?,TRT 1,?,?,3 Ocak 1994 - 1996,1994.0,0,0,0,0,Sona erdi
29,https://tr.wikipedia.org//wiki/G%C3%BCl_ve_Diken,Gül ve Diken,"Romantik,Dram",Uyarlama Değil,Osman F. Seden,Osman F. Seden,"Aydan Şener,Murat Parasayar,Müge Arda,Tomris Oğuzalp,Ozan Bilen",?,1.0,9,Kemal Seden,İstanbul,Necati İlktaç,45.0,Kemal Film,Star TV,?,Stereo,6 Aralık 1994 - 31 Ocak 1995,1994.0,0,0,0,0,Sona erdi
30,https://tr.wikipedia.org//wiki/H%C3%BCsn%C3%BC_Bey_Amca,Hüsnü Bey Amca,Komedi,Uyarlama Değil,Zihni Küçümen,Ülkü Erakalın,"Gazanfer Özcan,Gönül Ülkü,Doğu Erkan,Gazanfer Ündüz,Fulya Özcan,Tarık Ündüz",?,5.0,155,Bülent Özdural,İstanbul,?,25.0,TRT,TRT 1,?,?,9 Ocak 1994 - 23 Şubat 1997,1994.0,0,0,0,0,Sona erdi
31,https://tr.wikipedia.org//wiki/Kayg%C4%B1s%C4%B1zlar_(dizi),Kaygısızlar,Komedi,Uyarlama Değil,"Gani Müjde,Birol Güven,Fatih Solmaz,Metin Açıkgöz,Resul Ertaş,Selçuk Erdem,Yılmaz Okumuş","Oğuz Yalçın,Ayhan Önal,Cankat Ergin,Samim Değer,Temel Gürsu,Uğur Erkır","Ercan Yazgan,Halit Akçatepe,Ayşen Gruda,Gülçin Hatıhan,Çiçek Dilligil,Yılmaz Köksal,Sibel Seyhan,Şoray Uzun,Damla Özen,Yalçın Avşar,Ülkü Duru",Yeni Türkü,4.0,121,İlksen Fırat,İstanbul,Erdal Akdağ,30.0,3 Nokta Film,"Kanal D,Star TV,Kanal 6",?,Stereo,18 Ekim 1994 - 1 Haziran 1998,1994.0,1,1,1,1,Sona erdi
32,https://tr.wikipedia.org//wiki/Bizim_Mahalle_(dizi),Bizim Mahalle,"Aile,Komedi,Aksiyon",Uyarlama Değil,Çetin Büyükakın,"Ülkü Erakalın,Tulip Karamanbey,Temel Gürsu,Tangör Toydemir,Ayhan Önal","Neslihan Acar,Osman Yağmurdereli,Üstün Asutay,Neriman Köksal,Nilgün Belgün,Meltem Ören,İlhan Daner",?,8.0,510,Osman Yağmurdereli,İstanbul,?,70.0,TRT,TRT 1,?,Stereo,12 Şubat 1994 - 2 Nisan 2001,1994.0,0,0,0,0,Sona erdi
33,https://tr.wikipedia.org//wiki/%C5%9Eehnaz_Tango,Şehnaz Tango,"Komedi,Dram,Aşk",Uyarlama Değil,Oya Yüce,"Taner Akvardar,Semih Kaplanoğlu,Sadullah Celen,Nursan Esenboğa,Hüdaverdi Yavuz","Perran Kutman,Erdal Özyağcılar",?,4.0,130,Güner Namlı,İstanbul,?,70.0,Ar Ajans,"Show TV,Star TV",?,Stereo,3 Ekim 1994 - 29 Aralık 1997,1994.0,0,0,0,0,Sona erdi
34,https://tr.wikipedia.org//wiki/Kurtulu%C5%9F_(dizi),Kurtuluş,Tarihî,Uyarlama Değil,Turgut Özakman,Ziya Öztan,"Rutkay Aziz,Mahmut Cevher,Savaş Dinçel,Altan Erkekli,Ayda Aksel,Macide Tanır",?,1.0,6,"Sinan Yaka,Mustafa Şen",İstanbul,Colin Mounier,70.0,?,TRT 1,?,Stereo,"22 Mart 1994,(,1994-03-22,),[1],-,26 Nisan 1994,(,1994-04-26,),[2]",1994.0,0,0,0,0,Sona erdi
35,?,Melek Apartmanı,Komedi,Uyarlama Değil,Osman Sınav,Osman Sınav,"Toprak Sergen,Mustafa Uğurlu,Uğur Kıvılcım,Melek Baykal,Mehmet Çepiç",Özhan Eren,1.0,13,"Osman Sınav,Mustafa Şevki Doğan",İstanbul,"Erdoğan Engin,Kemal Şanlı",35.0,?,Kanal D,?,?,1995,1995.0,0,0,0,0,Sona erdi
36,https://tr.wikipedia.org//wiki/%C3%87i%C3%A7ek_Taksi,Çiçek Taksi,"Aile,Komedi",Uyarlama Değil,"Yılmaz Okumuş,Serap Gazel,Sedat Bilgin,Hayal Tacirleri,Gülsüm Öz,Gülsüm Kaplan,Göktuğ Kara,Erdoğan Tünaş,Atay Sözer","Yaşar Seriner,Ümit Efekan,Mehmet Bozkuş,Erdoğan Tokatlı","Erol Günaydın,Eşref Kolçak,Ümit Yesin,Bekir Aksoy,Cengiz Küçükayvaz","P. Murat Özdemir,Özkan Turgay",7.0,367,Türker İnanoğlu,"Ataköy,,,Kavacık,,,İstanbul","Ceysu Koçak,Ruhan Ünlüer,Halil Arif Nurdan",45.0,"Ulusal Radyo Televizyon,Erler Film","atv,TRT 1",?,Stereo,27 Eylül 1995 - 27 Aralık 2003,1995.0,0,0,0,0,Sona erdi
37,"https://tr.wikipedia.org//wiki/Bizim_Ev_(dizi,_1995)",Bizim Ev,"Aile,Dram",Uyarlama Değil,Ömer Lütfi Mete,İsmail Güneş,Cüneyt Arkın,?,3.0,101,"Sadettin Batu, Mustafa Güneş",İstanbul,"Halil Güngör, Ümit Ardabak, Mehmet Gün",45.0,?,TGRT,?,?,7 Mart 1996 - 1998,1996.0,0,0,0,0,Sona erdi
38,https://tr.wikipedia.org//wiki/Gurbet%C3%A7iler,Gurbetçiler,"Aile,Komedi,Dram",Uyarlama Değil,"Erdoğan Tünaş,Göktuğ Kara,Murat Kürüz","Yücel Uçanoğlu,Umut Gelgör,Metin Günay","Uğur Uludağ,Ahu Türkpençe,Aykut Oray,Berke Üzrek,Yıldırım Öcek",?,4.0,152,?,İstanbul,?,45.0,?,"atv,Kanal 6",?,Stereo,Eylül 1996 - 13 Eylül 2000,1996.0,0,0,0,0,Sona erdi
39,https://tr.wikipedia.org//wiki/Bizim_Aile_(dizi),Bizim Aile,"Komedi,Aile",Uyarlama Değil,Civan Canova,"Kartal Tibet,Sema Okay","Toprak Sergen,Kaya Akkaya,Kerim Afşar,Mine Çayıroğlu,Şahnaz Çakıralp",?,1.0,30,?,İstanbul,?,45.0,?,Kanal D,?,?,1996 - 1997,1996.0,0,0,0,0,Sona erdi
40,https://tr.wikipedia.org//wiki/Tatl%C4%B1_Ka%C3%A7%C4%B1klar,Tatlı Kaçıklar,Komedi,Uyarlama Değil,"İhsan Aydın,Kemal Kenan Ergen,Murat Kürüz,Vasıf Küçükoruç,Atay Sözer",Aram Gülyüz,"Mehmet Ali Erbil,Yalçın Menteş,Buket Dereoğlu,Neslihan Yeldan,Pelin Körmükçü,İsmet Ay,Erol Günaydın,Meltem Cumbul,Kayhan Yıldızoğlu,Ümit Okur,Dursun Ali Sarıoğlu,Yıldız Kaplan",?,5.0,165,Türker İnanoğlu,İstanbul,?,40.0,Erler Film,atv,?,Stereo,6 Kasım 1996 - 15 Haziran 2001,1996.0,0,0,0,0,Sona erdi
41,https://tr.wikipedia.org//wiki/%C3%87%C4%B1lg%C4%B1n_Bedi%C5%9F_(dizi),Çılgın Bediş,"Gençlik,Komedi",Uyarlama Değil,"Zeki Keskin,Baha Targün,Süleyman Solmaz,Mr. Veb Yaratım Ekibi,Güneş Film Yazım Ekibi,Vasıf Küçükoruç,","Turgut Yasalar,Yavuz Figenli,Çetin İnanç,Ömer Uğur,","Yonca Evcimik,Cenk Torun,Çiçek Dilligil,Selahattin Taşdöğen",?,4.0,70,Ayhan Aybek,"Sarıyer,,,İstanbul",Sertaç Karan,40.0,?,"Kanal D,Show TV",?,Stereo,8 Temmuz 1996 - 3 Mart 2001,1996.0,1,0,0,0,Sona erdi
42,https://tr.wikipedia.org//wiki/Bizim_Kuruntu_Ailesi,Bizim Kuruntu Ailesi,Komedi,Uyarlama Değil,Nedim Doğan,Bülent Özdural,"Gazanfer Özcan,Gönül Ülkü,Doğu Erkan,Gazanfer Ündüz,Fulya Özcan,Doğan Aybay,Şemsay Çankara,Saltuk Kaplangı,Tomris Oğuzalp,Aliye Tölak,Tarık Ündüz,Engin Gürmen,Ferdi Atuner,Şensel Uykal,Reyhan Ayyüzlü",?,2.0,47,Bülent Özdural,İstanbul,?,45.0,TGRT,TGRT,?,?,2 Kasım 1997 - 13 Aralık 1998,1997.0,0,0,0,0,Sona erdi
43,https://tr.wikipedia.org//wiki/Baba_Evi_(dizi),Baba Evi,Dram,Uyarlama Değil,"Neşe Cehiz,Macit Koper,Hüseyin Kuzu,Hülya Çelikezer,Filiz Terzi,Ayhan Sonyürek","Yusuf Kurçenli,Orhan Oğuz,Mahinur Ergun,Feyzi Tuna,Erden Kıral","Halil Ergün,Deniz Gökçer,Sevinç Erbulak,Ayşegül Ünsal,Altan Karındaş,İsmet Ay,İhsan Devrim",?,4.0,135,İrfan Tözüm,İstanbul,?,40.0,Muhteşem Film,atv,?,Stereo,"19 Eylül 1997,[1],- 8 Haziran 2001",1997.0,0,0,0,0,Sona erdi
44,https://tr.wikipedia.org//wiki/Ay%C5%9Fecik_(dizi),Ayşecik,Dram,Uyarlama Değil,?,"Ayhan Önal,Gürsel Ateş",Ecem Kanun,?,2.0,184,?,İstanbul,?,40.0,?,Show TV,?,Stereo,25 Temmuz 1997 - 22 Mart 2000,1997.0,0,0,0,0,Sona erdi
45,https://tr.wikipedia.org//wiki/Can%C4%B1s%C4%B1_(dizi),Canısı,"Dram,Aksiyon",Uyarlama Değil,"Safa Önal,Arda Uskan",Temel Gürsu,"İbrahim Erkal,Emine Ün,Yusuf Çetin,Sevtap Parman,Tanju Gürsu,Sedef Bildik,Canan Perver,Kuzey Vargın,Nur Subaşı,Murat Soydan,Engin Koç",?,1.0,26,Faruk Turgut,İstanbul,?,40.0,Gold Film,Show TV,?,Stereo,"21 Ekim 1997,(,1997-10-21,),-,14 Nisan 1998,(,1998-04-14,)",1997.0,1,0,0,0,Sona erdi
46,https://tr.wikipedia.org//wiki/B%C3%B6yle_mi_Olacakt%C4%B1,Böyle mi Olacaktı,"Dram,Aile,Gençlik",Uyarlama Değil,Erdoğan Tünaş,"Ümit Efekan,Temel Gürsu,Şahin Gök","Açelya Akkoyun,Berna Laçin,Hande Ataizi",?,6.0,167,Türker İnanoğlu,İstanbul,Hakan Gürtop,45.0,Erler Film,atv,?,Stereo,17 Ekim 1997 - 30 Nisan 2003,1997.0,0,0,0,0,Sona erdi
47,https://tr.wikipedia.org//wiki/Kara_Melek,Kara Melek,"Aksiyon,Dram",Uyarlama Değil,?,"Uğur Erkır,Dilek Gökçin,Türkan Derya","Sanem Çelik,Ece Uslu,Mustafa Alabora,Toprak Sergen,Ziya Kürküt,Zehra Alptürk,Aliye Uzunatağan,Sevtap Çapan,Memet Ali Alabora,Şenay Gürler,Ebru Akel,Yağmur Kaşifoğlu,ve,Zerrin Arbaş",?,4.0,110,Ertuğrul Karslıoğlu,"İstanbul,İzmir",?,45.0,Eylül TV,Star TV,?,Stereo,19 Şubat 1997 - 19 Ocak 2000,1997.0,0,0,0,0,Sona erdi
48,https://tr.wikipedia.org//wiki/K%C3%BC%C3%A7%C3%BCk_%C4%B0bo,Küçük İbo,"Dram,Gerilim",Uyarlama Değil,Hüseyin Karakaş,"Zeynep Tor,Hüseyin Karakaş","İbrahim Küçük,Bülent Bilgiç,Yasemin Koşal,Levent Üzümcü,Nazan Ersan,Selen Güzel,Ceyda Ateş,Canan Kılıç,Günyol Bakoğlu,Nurhan Yılma,Şinasi Yurtsever,Canan Akgül,Merve Erdoğan,",?,4.0,83,Hüseyin Karakaş,İstanbul,?,45.0,?,Show TV,?,?,1 Şubat 1997 - 29 Mayıs 2000,1997.0,0,0,0,0,Sona erdi
