,Yer,Enlem,Boylam
154,Gelibolu,40.4054063,26.6722539
155,Lapseki,40.3443674,26.6845975
156,Suriye,34.6401861,39.0494106
157,Kâğıthane,41.0812087,28.9730151
158,Cihangir,35.2274826,33.5134937
159,Beykent Üniversitesi,41.018379550000006,28.62675351922087
160,Maltepe,40.9247539,29.1310782
161,Avanos,38.7187371,34.8468663
162,Bosna-Hersek,44.3053476,17.5961467
164,Ata stüdyoları,39.8698746,32.8276197
165,Kundura,18.927265300000002,82.3486378110608
166,Küçükyalı,40.9489271,29.1219958
167,Manisa,38.8574402,28.0565711
168,Çeşme,38.3228053,26.3028171
169,Alaçatı,38.2847573,26.3745176
170,Etiler,39.8491133,33.5151141
171,Bebek,41.0790159,29.0439589
172,Beyoğlu,41.0284233,28.9736808
173,Levent,41.0815723,29.0169502
174,Ortaköy,41.290672,33.602829
175,Bakü,40.163999149999995,50.27770925520258
176,Polatlı,39.5852226,32.1436995
177,Şereflikoçhisar,38.9389329,33.5438843
178,Boyacıköy,41.1009895,29.0528726
180,Atabey,37.9509348,30.6374073
181,İznik,40.4303445,29.7223732
183,Manastır,41.0316005,21.3302511
185,Tarihî Sinop Cezaevi,42.024609749999996,35.142434302840684
186,Sürmene,40.9127715,40.1134808
187,Aksu Mahallesi,41.3600529,41.6801977
188,Kevenli,39.772216,37.7538153
189,Adapazarı,40.7755188,30.4020898
190,Milano,45.4641943,9.1896346
191,Afyonkarahisar,38.6852729,30.6427411
192,Kandilli,39.8554966,43.444212
193,Arnavutköy,41.0671774,29.0432713
194,Beşiktaş,41.0428465,29.0075283
195,New York,40.7127281,-74.0060152
196,Midyat,37.4152662,41.3733325
198,Kuzguncuk,41.03216,29.0360265
199,Beylerbeyi,37.1254804,37.3885491
200,Amasra,41.7489175,32.3866959
201,Kuzguncuk İlkokulu,40.95431225,39.94330797539668
202,Samatya,41.000679,28.9326654
203,Balat,41.0320032,28.9482931
204,Ataköy,38.5452452,27.9372711
205,Kavacık,40.5410485,35.030545
206,Ümraniye,41.0256362,29.0963049
207,Reşitpaşa,41.1068809,29.0411147
208,Fatih,41.0298974,28.6746475
