,Tür,Uyarlama,Senarist,Yönetmen,Başrol,Besteci,Sezon sayısı,Bölüm sayısı,Yapımcı,Mekân,Görüntü yönetmeni,Gösterim süresi,Yapım şirketi,Kanal,Platform,Ses formatı,Yayın tarihi,Durumu,Youtube,Facebook,Twitter,Instagram
1350,Romantik komedi,?,Özgür Evren Heptürk,"Tevfik Şenol,Kartal Çidamlı","Gökhan Özen,Yasemin Hadivent,Savaş Dinçel,Halit Akçatepe,Gül Onat,Ebru Karanfilci,Meral Kaplan,Pakize Suda,Ercü Turan,Serdal Genç,Engin Günay,Başak Koç,İbrahim Gündoğan,Elif Burgaz",?,1,24,"İnci Kırhan,Ali Gündoğdu",İstanbul,?,?,Süreç Film,Show TV,?,Stereo,19 Haziran 2006 - 8 Aralık 2006,Sona erdi,0,0,0,0
1351,"Dram,Aksiyon",?,Muharrem Buhara,"Yasin Uslu,Gül Oğuz","Cansu Dere,Mehmet Akif Alakurt,Zeynep Eronat,Menderes Samancılar,Devrim Saltoğlu,Fatoş Tez,Fatoş Sezer,Muhammed Cangören,Cemal Toktaş,Boncuk Yılmaz,Gökçe Yanardağ","Murat Tunali,Can Hatipoğlu",3,"79 (,bölümleri listesi,)",Nezihe Dikilitaş,"Mardin,İstanbul",?,82 dakika,"Fm Yapım,Most Production",atv,?,Stereo,15 Eylül 2006 - 19 Eylül 2008,Sona erdi,0,0,0,0
1352,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1353,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1354,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1355,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1356,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1357,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1358,Dram,?,?,"Cemile Kırmızı Karadaş (1-4),U. Yağmur Yavuz (5-14),Hüdaverdi Yavuz (15-19),Naci Çelik Berksoy (20-39)","Seçil Mutlu,Yıldız Çağrı Atiksoy,Ali Sürmeli,Atilla Olgaç,Kayra Şenocak,Sefa Zengin",?,1,39,"Salih Asan,Melih Sezgin",?,?,90 dakika,?,Samanyolu TV,?,Stereo,"21 Eylül 2006,(,2006-09-21,),[1],-,28 Haziran 2007,(,2007-06-28,)",Sona erdi,0,0,0,0
1359,"Aşk,Romantik,Komedi",?,"Haluk Özenç,Betül Karabulut","Özer Kızıltan,Şengül Halat Atak","Barış Akarsu,Merve Sevi,Bülent Kayabaş,Ayşe Kökçü",?,1,49,FM Yapım,Muğla,?,60 dakika,?,Star TV,?,Stereo,21 Temmuz 2006 - 30 Haziran 2007,Yayından kaldırıldı,0,0,0,0
1360,"Aile,Drama",?,"Ece Yörenç,Melek Gençoğlu",Mesude Erarslan,"Halil Ergün,Güven Hokna,Bennu Yıldırımlar,Deniz Çakır,Tolga Karel,Caner Kurtaran,Hasan Küçükçetin,Gökçe Bahadır,Fahriye Evcen,Bedia Ener,Seda Demir",Toygar Işıklı,5,"174 (,bölümleri listesi,)",Kerem Çatay,"İstanbul,Adapazarı,,,Sakarya,Milano,Trabzon,Afyonkarahisar",?,60-90 dakika,Ay Yapım,"Kanal D,(,HD,) (2006-2010)",?,Stereo,13 Eylül 2006 - 29 Aralık 2010,Sona erdi,0,0,0,0
1361,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1362,Dram,?,?,Taner Tunç,"Bilgehan Birincioğlu,Gülşah Şahin",Tamer Çıray,2,66,Mustafa Kartal,?,?,70-85 dakika,Ser Film,Samanyolu TV,?,Stereo,"10 Aralık 2006,(,2006-12-10,),[1],[2],[3],-,24 Haziran 2008,(,2008-06-24,),[4],[5]",Sona erdi,0,0,0,0
1363,"Gençlik,Komedi",?,"Ayça Mutlugil,Nuray Uslu,Oya Yüce,Volkan Girgin","Haluk Bener,Sadullah Celen","Şebnem Sönmez,Engin Alkan,Tuba Erdem,Okan Selvi,Ayça Mutlugil,Nuray Uslu,Gülden Güney,Volkan Girgin",Serdar Kalafatoğlu,3,92,Oya Yüce,"Üsküdar,,,Kandilli,(1-13),Arnavutköy,,,Beşiktaş,(14-92)",Nilgün Naşçacı,40-45 dakika,?,TRT 1,?,Stereo,"23 Ekim 2000,(,2000-10-23,),[1],-,23 Haziran 2003,(,2003-06-23,),[2]",Sona erdi,0,0,0,0
1364,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1365,"Dram,Aksiyon",?,"Aybars Bora Kahyaoğlu,Soner Pehlivan,Tangül Sınav,İsa Yıldız",Abdülkadir Ceylan Ede,"Kenan İmirzalıoğlu,Selin Demiratar,Oğuz Galeli,Ebru Kocaağa,Ahmet Yenilmez,Murat Soydan,Meral Orhonsay,Ferdi Merter,Anta Toros",Aytuğ Yargıç,2,59,Osman Sınav,İstanbul,?,90 dakika,Sinegraf,Show TV,?,Stereo,"14 Aralık 2005,(,2005-12-14,),[1],[2],[3],-,18 Haziran 2007,(,2007-06-18,),[4],[5],[6]",Sona erdi,0,0,0,0
1366,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1367,"Polisiye,Macera,Gerilim,Aksiyon",?,"Sulhi Dölek,Defne Kayalar,Güliz Kucur,Alican Yücel","Yağmur Taylan,Paxton Winters,Durul Taylan,Alican Yücel","Uğur Yücel,Kenan İmirzalıoğlu",?,2,37,"Uğur Yücel,Defne Kayalar",?,?,?,Paranoya TV,Show TV,?,Stereo,22 Ekim 2003 - 28 Mart 2005,Sona erdi,1,0,0,0
1368,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1369,Dram,?,"Şebnem Çitak,Güliz Kucur,Ayfer Tunç",Kudret Sabancı,"Sanem Çelik,Nejat İşler,Halit Ergenç",Kıraç,3,76,Erol Avcı,İstanbul,?,?,TMC Film,"atv,(2004-2006)",?,Stereo,14 Eylül 2004 - 17 Ekim 2006,Sona erdi,0,0,0,0
1370,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1371,"Dram,Duygusal",?,"Mahinur Ergun,Meral Okay",Çağan Irmak,"Özcan Deniz,Nurgül Yeşilçay,Selda Alkor",?,2,"54 (,bölümleri listesi,)",Abdullah Oğuz,"Ürgüp,,,Nevşehir,İstanbul,New York,New York",?,60 dakika,"ANS Productions,D Productions",atv,?,Stereo,11 Mart 2002 - 16 Haziran 2003,Sona erdi,0,0,0,0
1372,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1373,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1374,"Drama,Macera",?,"Pınar Ordu,Neşe Cehiz,İlker Barış,Deniz Sertbarut,Cüneyt Bolak,Bilal Babaoğlu,Barış Pirhasan",Cemal Şan,"Mahsun Kırmızıgül,Beren Saat",?,2,53,Tomris Giritlioğlu,"Midyat,,,Mardin,[1],İstanbul",?,90 dakika,Sis Yapım,atv,?,Stereo,"7 Mart 2005,(,2005-03-07,),-,5 Haziran 2006,(,2006-06-05,)",Sona erdi,0,0,0,0
1375,?,?,?,"Filiz Kaynak,(2001-2002),Nursan Esenboğa,(2008)","Emel Sayın,Mehmet Ali Erbil,Doğa Rutkay,Engin Günaydın,Günay Karacaoğlu,Ayumi Takano",?,2,50,Yağmur Ajans,?,?,?,?,"Kanal D,(2001-2002),Kanal 1,(2007-2008)",?,Stereo,"8 Ekim 2001,(,2001-10-08,),[1],[2],- Haziran 2008",Sona erdi,0,0,0,0
1376,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
1377,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
