,Tarih,Dizi Adı,Dizi Adı Uzunluğu,Dizi Adındaki Kelime Sayısı,Dizi Adında Bağlaç,Dizi Adında Yer İsmi,Dizi Adında Özel İsim,Aile,Aksiyon,Aşk,Bilim Kurgu,Dram,Gençlik,Gerilim,Komedi,Polisiye,Romantik,Tarihî,TRT 1,Kanal D,atv,Star TV,Show TV,FOX,Samanyolu TV,TV8,in_turkey,out_turkey,book_to_movie,act_count,paid_channel,Publication Day,summer_series,duration,Ödüllü,Senaristlerin Dizi Sayısı,Ödüllü Senarist Sayısı,Senaristlerin Aldığı Ödül Sayısı,Başrollerin Dizi Sayısı,Ödüllü Başrol Sayısı,Başrollerin Aldığı Ödül Sayısı,Yönetmenlerin Dizi Sayısı,Ödüllü Yönetmen Sayısı,Yönetmenlerin Aldığı Ödül Sayısı,Görüntü Yönetmenlerinin Dizi Sayısı,Yapım Şirketleri Dizi Sayısı,Besteci Dizi Sayısı,on_youtube,on_facebook,on_twitter,on_instagram,total_sm_accounts,state
17,1989.0,Samanyolu,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,?,-1,50.0,0,1.0,0,0.0,1.4285714285714286,0,0.0,1.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarısız
18,1989.0,Bizimkiler,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,7,0,Saturday,0,50.0,1,1.0,0,0.0,1.2857142857142858,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Olgun
19,1989.0,Türkmen Düğünü,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,Wednesday,0,40.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,9.0,-1.0,0,0,0,0,0,Başarısız
20,1990.0,Başka Olur Ağaların Düğünü,26,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,?,-1,40.0,0,1.0,0,0.0,1.2857142857142858,0,0.0,1.0,0,0.0,-1.0,10.0,-1.0,0,0,0,0,0,Başarısız
21,1991.0,Portatif Hüseyin,16,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,8,0,Tuesday,0,40.0,0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.6666666666666666,-1.0,0,0,0,0,0,Kısmen Başarılı
22,1992.0,Umut Taksi,10,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,Wednesday,0,30.0,0,1.0,0,0.0,1.0,0,0.0,0.6666666666666666,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Kısmen Başarılı
23,1992.0,Mahallenin Muhtarları,21,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,9,0,Monday,0,45.0,1,2.0,0,0.0,1.2222222222222223,0,0.0,1.25,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Olgun
24,1993.0,Süper Baba,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,Saturday,0,45.0,1,1.0,0,0.0,1.4285714285714286,0,0.0,1.4,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarılı
25,1993.0,Yazlıkçılar,11,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5,0,Sunday,0,45.0,0,1.2,0,0.0,1.6,0,0.0,3.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Kısmen Olgun
26,1993.0,Ferhunde Hanımlar,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,0,Monday,0,45.0,0,1.0,0,0.0,1.0,0,0.0,0.8,0,0.0,-1.0,4.0,1.0,0,0,0,0,0,Kısmen Olgun
