,Tarih,Dizi Adı,Dizi Adı Uzunluğu,Dizi Adındaki Kelime Sayısı,Dizi Adında Bağlaç,Dizi Adında Yer İsmi,Dizi Adında Özel İsim,Aile,Aksiyon,Aşk,Bilim Kurgu,Dram,Gençlik,Gerilim,Komedi,Polisiye,Romantik,Tarihî,TRT 1,Kanal D,atv,Star TV,Show TV,FOX,Samanyolu TV,TV8,in_turkey,out_turkey,book_to_movie,act_count,paid_channel,Publication Day,summer_series,duration,Ödüllü,Senaristlerin Dizi Sayısı,Ödüllü Senarist Sayısı,Senaristlerin Aldığı Ödül Sayısı,Başrollerin Dizi Sayısı,Ödüllü Başrol Sayısı,Başrollerin Aldığı Ödül Sayısı,Yönetmenlerin Dizi Sayısı,Ödüllü Yönetmen Sayısı,Yönetmenlerin Aldığı Ödül Sayısı,Görüntü Yönetmenlerinin Dizi Sayısı,Yapım Şirketleri Dizi Sayısı,Besteci Dizi Sayısı,on_youtube,on_facebook,on_twitter,on_instagram,total_sm_accounts,state
512,2011.0,Kayıp Aranıyor,14,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,Thursday,0,90.0,0,2.5,0,0.0,2.2,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
513,2011.0,Sensiz Olmaz,12,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,0,Monday,0,90.0,0,1.0,0,0.0,4.0,0,0.0,8.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
514,2011.0,Kurşun Bilal,12,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,20,0,Monday,1,90.0,0,1.0,0,0.0,1.6,0,0.0,2.0,0,0.0,-1.0,1.0,1.0,0,0,0,0,0,Başarısız
515,2011.0,Kuzey Güney,11,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,Wednesday,0,90.0,0,7.5,0,0.0,2.333333333333333,1,1.3333333333333333,3.0,0,0.0,-1.0,11.0,7.0,0,0,0,0,0,Kısmen Başarılı
516,2011.0,Küçük Hanımefendi,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,0,Friday,0,90.0,0,6.0,0,0.0,1.75,0,0.0,6.5,0,0.0,-1.0,1.0,1.0,0,0,0,0,0,Kısmen Başarılı
517,2011.0,Leyla ile Mecnun,16,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11,0,Wednesday,0,60.0,0,1.5,0,0.0,3.8181818181818175,0,0.0,2.2,0,0.0,1.6666666666666667,1.3333333333333333,3.0,1,1,1,0,3,Kısmen Olgun
518,2011.0,Keşanlı Ali Destanı,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,Saturday,0,110.0,0,1.0,0,0.0,4.0,0,0.0,4.0,0,0.0,5.0,13.0,3.0,0,0,0,0,0,Başarısız
519,2011.0,Mazi Kalbimde Yaradır,21,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,Thursday,0,100.0,0,3.5,0,0.0,5.0,0,0.0,5.0,0,0.0,-1.0,9.0,-1.0,0,0,0,0,0,Kısmen Başarılı
520,2011.0,Muhteşem Yüzyıl,15,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,7,0,Wednesday,0,100.0,1,2.0,0,0.0,3.571428571428572,2,0.7142857142857143,1.0,0,0.0,1.0,10.0,2.6666666666666665,0,1,1,0,2,Başarılı
521,2011.0,Mavi Kelebekler,15,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,Wednesday,0,80.0,0,1.0,0,0.0,3.5,0,0.0,8.0,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarısız
522,2011.0,Naber Bacanak,13,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,Monday,0,120.0,0,4.0,0,0.0,1.0,0,0.0,1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
523,2011.0,Nuri,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,Thursday,-1,120.0,0,8.0,1,7.0,6.4,1,1.0,5.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
524,2011.0,Sen de Gitme,12,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,Thursday,0,120.0,0,4.0,0,0.0,3.333333333333333,0,0.0,4.0,0,0.0,3.0,2.0,1.0,0,0,0,0,0,Kısmen Başarılı
525,2011.0,Pis Yedili,10,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23,0,Tuesday,0,120.0,0,15.0,0,0.0,1.8695652173913044,0,0.0,3.5,0,0.0,-1.0,1.0,-1.0,0,0,0,0,0,Başarılı
526,2012.0,Dila Hanım,10,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,8,0,Friday,0,90.0,0,4.0,0,0.0,2.875,1,0.625,6.2,1,0.8,-1.0,14.0,-1.0,0,0,0,0,0,Kısmen Başarılı
527,2012.0,Düşman Kardeşler,16,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,Thursday,1,90.0,0,-1.0,0,0.0,3.333333333333333,1,1.0,1.0,0,0.0,-1.0,5.0,-1.0,0,0,0,0,0,Başarısız
528,2012.0,Esir Şehrin Gözyaşları - Bir Ferhat ile Şirin Hikayesi,54,9,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,Friday,0,90.0,0,5.0,0,0.0,4.5,0,0.0,6.0,1,1.0,-1.0,8.0,-1.0,0,0,0,0,0,Başarısız
529,2012.0,Çıplak Gerçek,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,Friday,-1,45.0,0,1.0,0,0.0,4.6,0,0.0,-1.0,0,0.0,-1.0,-1.0,-1.0,0,0,0,0,0,Başarısız
